Store Group,Transaction Date,Business,Category,Main Category,Sub Category,Item ID,Product,Sale Quantity,Sales Value,Day,Cost,Sales
FreshMart Group,2025-03-02,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0001,Plum,19,1006.24,Sunday,52.96,1006.24
FreshMart Group,2025-02-01,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0002,Mango,1,88.71,Saturday,88.71,88.71
FreshMart Group,2025-02-09,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0003,Mosambi,10,404.3,Sunday,40.43,404.3
FreshMart Group,2025-01-11,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0004,Orange,3,55.11,Saturday,18.37,55.11
FreshMart Group,2025-02-04,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0005,Lettuce,18,1204.38,Tuesday,66.91,1204.38
FreshMart Group,2025-01-23,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0006,Spinach,6,374.04,Thursday,62.34,374.04
FreshMart Group,2025-01-07,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0007,Pineapple,4,270.6,Tuesday,67.65,270.6
FreshMart Group,2025-02-21,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0008,Mango,6,459.42,Friday,76.57,459.42
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0009,Spinach,1,27.78,Friday,27.78,27.78
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0010,Banana,9,165.96,Wednesday,18.44,165.96
FreshMart Group,2025-01-11,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0011,Pumpkin,17,354.79,Saturday,20.87,354.79
FreshMart Group,2025-01-16,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0012,Cauliflower,7,83.3,Thursday,11.9,83.3
FreshMart Group,2025-01-27,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0013,Beetroot,8,682.56,Monday,85.32,682.56
FreshMart Group,2025-02-16,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0014,Lemon,18,1061.82,Sunday,58.99,1061.82
FreshMart Group,2025-02-22,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0015,Blueberry,1,91.42,Saturday,91.42,91.42
FreshMart Group,2025-01-21,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0016,Carrot,7,503.86,Tuesday,71.98,503.86
FreshMart Group,2025-02-25,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0017,Carrot,2,169.14,Tuesday,84.57,169.14
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0018,Banana,5,214.1,Monday,42.82,214.1
FreshMart Group,2025-01-26,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0019,Beetroot,1,75.22,Sunday,75.22,75.22
FreshMart Group,2025-02-26,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0020,Bottle Gourd,18,1590.48,Wednesday,88.36,1590.48
FreshMart Group,2025-01-30,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0021,Bottle Gourd,15,227.25,Thursday,15.15,227.25
